CustomerID,Lookalikes
C0001,"[('C0076', 0.9976481504266503), ('C0137', 0.989667529037777), ('C0191', 0.9879866248095341)]"
C0002,"[('C0043', 0.9962832396103803), ('C0142', 0.9838670584723233), ('C0178', 0.9806746153882272)]"
C0003,"[('C0025', 0.9970096716810369), ('C0032', 0.9764045109221302), ('C0077', 0.9755775452134979)]"
C0004,"[('C0113', 0.9919478769576185), ('C0147', 0.9886435262498252), ('C0165', 0.9775165620055096)]"
C0005,"[('C0080', 0.9986636402423443), ('C0128', 0.9907425718497901), ('C0140', 0.986321523182507)]"
C0006,"[('C0085', 0.9710972551845577), ('C0133', 0.9691284918320495), ('C0158', 0.9588722437012339)]"
C0007,"[('C0078', 0.987187422020733), ('C0092', 0.985074496728415), ('C0115', 0.9833721554833469)]"
C0008,"[('C0065', 0.9913578440162685), ('C0068', 0.9713006756897743), ('C0109', 0.9677085242416361)]"
C0009,"[('C0061', 0.9977489797649394), ('C0135', 0.9939211553642281), ('C0167', 0.9544121127825443)]"
C0010,"[('C0060', 0.9921634454140095), ('C0111', 0.9699924379558944), ('C0121', 0.9434968553410088)]"
C0011,"[('C0107', 0.9985705185061735), ('C0137', 0.9917224170767521), ('C0191', 0.9882876302596266)]"
C0012,"[('C0087', 0.9923981993862045), ('C0102', 0.9634356626063038), ('C0108', 0.9568614819530331)]"
C0013,"[('C0104', 0.9911765764669865), ('C0155', 0.9838122628477579), ('C0184', 0.9814904704591751)]"
C0014,"[('C0060', 0.9783549154135726), ('C0062', 0.9562732138493479), ('C0063', 0.939383890835794)]"
C0015,"[('C0058', 0.9907024789182509), ('C0131', 0.9644637929606957), ('C0185', 0.9614632471930332)]"
C0016,"[('C0042', 0.9512699683728114), ('C0050', 0.9251402724090828), ('C0079', 0.9132030074581499)]"
C0017,"[('C0041', 0.992167404505767), ('C0075', 0.9634489621808637), ('C0124', 0.9408335329211556)]"
C0018,"[('C0030', 0.9724927225075636), ('C0055', 0.953075325584098), ('C0160', 0.9330998436650955)]"
C0019,"[('C0053', 0.9990039842914793), ('C0081', 0.988026534854456), ('C0105', 0.9770009557253033)]"
C0020,"[('C0015', 0.9384570914951176), ('C0058', 0.9235906849148476), ('C0131', 0.8925677551609472)]"
